date,open,high,low,trendEstimation1,trendEstimation2
1964-08-10T00:00:00.000000000,359.05229536612234,312.3717545533578,326.67878145272164,-0.061720210794619694,-1.5450825804072716
1964-08-07T00:00:00.000000000,357.0607216200345,313.85688175408694,328.37955204098165,-0.06278068320033833,-1.7646572734709889
1964-08-06T00:00:00.000000000,357.6297426903454,312.1242333532363,327.8562380138248,-0.06749917721794968,-1.909516103690415
1964-08-05T00:00:00.000000000,360.4748480418994,314.84696655457304,328.9028660681386,-0.06008071402954842,-2.1391010630323457
1964-08-04T00:00:00.000000000,355.0691478739467,309.77278195208186,325.23966787804,-0.06035752235747404,-2.7242158135208134
1964-08-03T00:00:00.000000000,354.78463733879136,309.89654255214265,326.15546742556467,-0.06875498960224823,-2.677688521309595
1964-07-31T00:00:00.000000000,353.21982939543665,308.5351759514743,324.71635385088297,-0.07286232525356141,-2.702686706324012
1964-07-30T00:00:00.000000000,351.93953198723733,307.42133055092745,323.4080687829907,-0.08703518719009735,-2.7426842590335454
1964-07-29T00:00:00.000000000,351.6550214520818,306.1837245503198,322.4922692354661,-0.06380331222408858,-2.657743971499221
1964-07-28T00:00:00.000000000,350.51697931146026,306.1837245503198,322.0997837150984,-0.07927530063479718,-2.658348478804333
1964-07-27T00:00:00.000000000,350.23246877630476,305.3174003498945,322.0997837150984,-0.10520934211138265,-2.642883220323067
1964-07-24T00:00:00.000000000,350.23246877630476,304.94611854971225,321.31481267436294,-0.11414448420156867,-2.608750424690172
1964-07-23T00:00:00.000000000,350.94374511419335,305.8124427501376,322.0997837150984,-0.13336231850037775,-2.500553249067375
1964-07-22T00:00:00.000000000,351.6550214520818,315.5895301549376,322.4922692354661,-0.1352191483234991,-2.3422654283610704
1964-07-21T00:00:00.000000000,353.64659519816973,307.7926123511097,323.27724027620144,-0.12363636263251428,-2.2828843532347363
1964-07-20T00:00:00.000000000,354.2156162684805,308.2876547513528,324.9780108644616,-0.13372814685509152,-2.19571815755154
1964-07-17T00:00:00.000000000,354.50012680363585,308.658936551535,324.71635385088297,-0.12701173746268088,-2.1296261874235913
1964-07-16T00:00:00.000000000,353.3620846630143,308.4114153514135,324.9780108644616,-0.11755813093010599,-2.1577745328573292
1964-07-15T00:00:00.000000000,355.0691478739467,308.9064577516565,324.71635385088297,-0.11329512673170078,-2.168829823134575
1964-07-14T00:00:00.000000000,353.3620846630143,308.163894151292,324.71635385088297,-0.11755813093010599,-2.2628673305617837
1964-07-13T00:00:00.000000000,353.0775741278589,307.668851751049,324.4546968373046,-0.1250464408905473,-2.29995056250935
1964-07-10T00:00:00.000000000,354.2156162684805,308.5351759514743,324.9780108644616,-0.11853039504553174,-2.2299157522981052
1964-07-09T00:00:00.000000000,352.0817872548149,308.4114153514135,323.8005543033584,-0.11451960666103009,-2.1810582666123373
1964-07-08T00:00:00.000000000,352.0817872548149,307.0500487507452,323.6697257965692,-0.10563943079659904,-2.066195771493243
1964-07-07T00:00:00.000000000,354.2156162684805,308.163894151292,324.0622113169368,-0.10278986638563055,-1.9368208571455396
1964-07-06T00:00:00.000000000,354.2156162684805,308.7826971515958,324.9780108644616,-0.09698476846864304,-1.9267252240429165
1964-07-02T00:00:00.000000000,354.78463733879136,310.1440637522642,325.76298190519697,-0.06944378029041219,-1.8728528999768885
1964-07-01T00:00:00.000000000,355.0691478739467,309.6490213520211,326.15546742556467,-0.06869754434838383,-1.8685434248292725
1964-06-30T00:00:00.000000000,354.2156162684805,309.89654255214265,324.9780108644616,-0.06610097616348139,-1.9018759342799325
1964-06-29T00:00:00.000000000,356.6339558173014,311.01038795268954,326.54795294593237,-0.06320745888451182,-1.8882675313868689
1964-06-26T00:00:00.000000000,353.7888504657474,309.89654255214265,325.37049638482915,-0.0713687486530841,-1.9827561664017435
1964-06-25T00:00:00.000000000,355.0691478739467,308.9064577516565,325.37049638482915,-0.07756709154506593,-1.9502550147537077
1964-06-24T00:00:00.000000000,354.926892606369,310.0203031522034,326.4171244391432,-0.09256202988884384,-1.9194781835100012
1964-06-23T00:00:00.000000000,353.3620846630143,308.9064577516565,324.5855253440938,-0.07522697115922547,-1.9425901131748424
1964-06-22T00:00:00.000000000,354.3578715360582,308.2876547513528,324.5855253440938,-0.082774713462096,-1.8919431441452892
1964-06-19T00:00:00.000000000,353.3620846630143,308.9064577516565,324.71635385088297,-0.11443996178144897,-1.8594053927217635
1964-06-18T00:00:00.000000000,353.64659519816973,309.40150015189965,324.9780108644616,-0.13212708299455206,-1.8377266407802701
1964-06-17T00:00:00.000000000,352.7930635927035,307.0500487507452,323.53889728978,-0.11897913232957434,-1.830729207648062
1964-06-16T00:00:00.000000000,352.22404252239266,307.0500487507452,323.8005543033584,-0.1368128471978165,-1.8483304631938728
1964-06-15T00:00:00.000000000,353.3620846630143,307.42133055092745,323.9313828101476,-0.10813704335996457,-1.8701228567863715
1964-06-12T00:00:00.000000000,354.2156162684805,308.7826971515958,324.9780108644616,-0.0930727891262691,-1.8810810289616744
1964-06-11T00:00:00.000000000,349.94018847553076,305.80351412969225,321.5718875300949,-0.08418231028310362,-1.9274699664783346
1964-06-10T00:00:00.000000000,349.6595628231847,305.68124163303906,321.9597908926161,-0.07948193402563924,-1.9500659440948687
1964-06-09T00:00:00.000000000,349.37893717083864,304.94760665311975,321.05468304673326,-0.10545653417434407,-1.9802751011697135
1964-06-08T00:00:00.000000000,349.37893717083864,304.4585166665069,320.02027408001,-0.06916401189441512,-1.9919144186131261
1964-06-05T00:00:00.000000000,351.34331673726103,306.17033161965185,322.21839313429695,-0.07367387133007616,-1.9778303197251772
1964-06-04T00:00:00.000000000,352.4658193466452,307.5153290828373,323.7700065843818,-0.09755293728753112,-1.954347403058296
1964-06-03T00:00:00.000000000,353.0270706513373,307.63760157949054,323.7700065843818,-0.09086459603875764,-1.9721298012731803
1964-06-02T00:00:00.000000000,350.08050130170375,307.63760157949054,322.21839313429695,-0.08718342873833833,-1.97708385803695
1964-06-01T00:00:00.000000000,347.97580890910837,304.94760665311975,320.6667796842121,-0.08595035061194019,-1.9645672327623172
1964-05-28T00:00:00.000000000,348.5370602138005,303.72488168658765,320.02027408001,-0.06579191528968867,-1.9815565851930201
1964-05-27T00:00:00.000000000,348.5370602138005,303.969426679894,320.79608080505244,-0.06720204070057234,-2.0245770951989583
1964-05-26T00:00:00.000000000,350.7820654325689,305.68124163303906,321.31328528841414,-0.044609544037491344,-2.0566502669898243
