Date,Open,High,Low,Last,Volume,Open Interest
2007-05-08,518.5,518.5,506.0,509.75,2156.0,19564.0
2007-05-07,522.0,525.0,513.0,522.5,1821.0,19391.0
2007-05-04,516.75,521.0,515.0,520.0,1569.0,19008.0
2007-05-03,517.5,525.0,516.75,518.25,2567.0,19271.0
2007-05-02,528.0,531.5,517.0,520.75,2444.0,19133.0
2007-05-01,526.0,530.0,513.0,528.25,2759.0,19595.0
2007-04-30,529.5,533.0,524.0,529.5,3332.0,19648.0
2007-04-27,535.0,537.0,525.0,535.75,3674.0,19818.0
2007-04-26,533.0,541.0,531.0,537.25,5005.0,19269.0
2007-04-25,513.5,545.75,513.5,533.0,5873.0,18267.0
2007-04-24,514.25,516.0,507.0,515.75,4276.0,17550.0
2007-04-23,519.0,520.25,511.0,515.0,1631.0,16522.0
2007-04-20,514.25,519.5,510.0,519.0,2312.0,16415.0
2007-04-19,507.0,515.5,507.0,514.5,3405.0,15981.0
2007-04-18,508.0,511.0,504.0,507.0,2111.0,15918.0
2007-04-17,514.0,519.0,506.0,508.0,3750.0,15444.0
2007-04-16,511.0,515.0,510.5,512.0,2614.0,15289.0
2007-04-13,505.5,520.0,505.0,516.25,4432.0,15628.0
2007-04-12,503.5,506.5,494.0,505.5,3849.0,14274.0
2007-04-11,506.5,509.0,502.5,503.75,1563.0,13068.0
2007-04-10,498.0,507.5,496.0,506.75,4656.0,12868.0
2007-04-09,500.0,516.5,490.0,496.75,3301.0,12213.0
2007-04-05,487.0,497.0,486.25,495.75,2359.0,11392.0
2007-04-04,477.0,487.5,476.0,485.0,3101.0,12343.0
2007-04-03,485.0,486.0,474.0,476.0,4747.0,12714.0
2007-04-02,485.75,490.5,468.0,486.0,3688.0,12518.0
2007-03-30,507.75,509.0,486.0,492.25,4731.0,12530.0
2007-03-29,506.0,510.0,502.0,508.75,1722.0,12449.0
2007-03-28,503.0,507.0,501.5,506.25,1610.0,12355.0
2007-03-27,507.5,508.0,500.5,503.75,2335.0,12259.0
2007-03-26,509.0,509.5,501.0,508.0,957.0,11573.0
2007-03-23,514.0,515.0,509.0,509.5,1137.0,11953.0
2007-03-22,511.25,515.0,510.5,513.75,1604.0,11587.0
2007-03-21,511.5,515.5,508.25,514.0,820.0,11204.0
2007-03-20,506.5,510.75,503.5,510.5,1153.0,11434.0
2007-03-19,509.75,515.0,503.0,507.0,560.0,11301.0
2007-03-16,505.5,514.5,503.0,512.75,1297.0,11189.0
2007-03-15,513.0,515.5,505.0,506.0,1262.0,11311.0
2007-03-14,506.0,507.25,498.0,504.5,3130.0,17373.0
2007-03-13,510.25,511.5,505.75,506.5,2248.0,17098.0
2007-03-12,514.25,514.5,508.0,510.75,1200.0,17042.0
2007-03-09,512.5,517.5,510.0,514.5,1613.0,17275.0
2007-03-08,513.0,517.0,511.0,513.5,1933.0,17469.0
2007-03-07,508.25,514.0,508.25,513.25,1377.0,17244.0
2007-03-06,515.5,518.0,506.25,508.25,1791.0,17219.0
2007-03-05,506.0,515.5,505.0,515.5,2603.0,17976.0
2007-03-02,513.0,517.25,509.0,512.5,2178.0,17965.0
2007-03-01,521.0,521.0,505.0,513.5,2855.0,18257.0
2007-02-28,514.75,520.5,512.0,520.0,3043.0,18525.0
2007-02-27,525.75,526.0,500.0,516.0,4543.0,18315.0
2007-02-26,523.0,534.0,523.0,526.0,4787.0,18000.0
2007-02-23,521.75,525.5,521.0,523.75,3844.0,16831.0
2007-02-22,517.0,527.0,517.0,525.25,4594.0,16403.0
2007-02-21,509.0,521.5,507.5,517.25,5026.0,15396.0
2007-02-20,513.0,514.75,508.0,509.0,2649.0,13642.0
2007-02-16,504.0,515.0,503.0,515.0,3682.0,12807.0
2007-02-15,501.75,505.0,499.25,505.0,3326.0,11907.0
2007-02-14,505.0,508.0,495.0,500.0,5186.0,10877.0
2007-02-13,500.0,506.5,500.0,506.0,1915.0,9929.0
2007-02-12,505.0,505.5,499.0,500.0,1851.0,9155.0
2007-02-09,505.0,509.25,502.0,505.5,2066.0,8649.0
2007-02-08,496.0,502.5,496.0,502.5,1319.0,8954.0
2007-02-07,496.25,498.5,494.5,496.75,1502.0,8378.0
2007-02-06,501.0,503.0,495.0,495.5,2027.0,7943.0
2007-02-05,504.0,506.0,500.5,503.0,459.0,7260.0
2007-02-02,502.5,505.0,498.5,504.0,806.0,7330.0
2007-02-01,508.0,510.25,500.5,503.5,846.0,7425.0
