Date,Open,High,Low,Close,Volume,Open Interest
2018-07-04,22270.0,22530.0,22270.0,22490.0,91.0,1037.0
2018-07-03,22320.0,22390.0,22200.0,22340.0,68.0,1007.0
2018-07-02,22590.0,22590.0,22420.0,22430.0,200.0,998.0
2018-06-29,22380.0,22390.0,22150.0,22370.0,195.0,1090.0
2018-06-28,22640.0,22640.0,22370.0,22430.0,61.0,1176.0
2018-06-27,22620.0,22650.0,22480.0,22590.0,136.0,1168.0
2018-06-26,22600.0,22650.0,22460.0,22580.0,132.0,1115.0
2018-06-25,22670.0,22700.0,22590.0,22650.0,122.0,1040.0
2018-06-22,22430.0,22690.0,22410.0,22660.0,78.0,1018.0
2018-06-21,22700.0,22700.0,22420.0,22490.0,94.0,995.0
2018-06-20,22480.0,22670.0,22400.0,22590.0,150.0,995.0
2018-06-19,22740.0,22740.0,22310.0,22380.0,255.0,1036.0
2018-06-18,23100.0,23100.0,22740.0,22790.0,293.0,1043.0
2018-06-15,23590.0,23590.0,23420.0,23440.0,84.0,1115.0
2018-06-14,23600.0,23730.0,23450.0,23690.0,191.0,1126.0
2018-06-13,23830.0,23920.0,23550.0,23600.0,175.0,1142.0
2018-06-12,23800.0,23860.0,23680.0,23810.0,108.0,1046.0
2018-06-11,23700.0,23850.0,23670.0,23750.0,35.0,962.0
2018-06-08,23290.0,23880.0,23290.0,23830.0,341.0,946.0
2018-06-07,22800.0,23240.0,22780.0,23190.0,113.0,819.0
2018-06-06,22690.0,22900.0,22610.0,22770.0,41.0,765.0
2018-06-05,22840.0,22880.0,22600.0,22810.0,101.0,764.0
2018-06-04,23420.0,23440.0,23080.0,23100.0,91.0,727.0
2018-06-01,22830.0,23270.0,22830.0,23080.0,85.0,705.0
2018-05-31,22800.0,22970.0,22620.0,22950.0,145.0,653.0
2018-05-30,23100.0,23220.0,22500.0,22610.0,154.0,597.0
2018-05-29,22670.0,23150.0,22670.0,23060.0,205.0,587.0
2018-05-28,22130.0,22300.0,22100.0,22260.0,72.0,469.0
2018-05-25,22250.0,22320.0,22000.0,22270.0,150.0,441.0
2018-05-24,22000.0,22250.0,21990.0,22200.0,51.0,350.0
2018-05-23,21650.0,22010.0,21650.0,21940.0,24.0,331.0
2018-05-22,21780.0,22340.0,21600.0,21810.0,89.0,328.0
2018-05-21,21720.0,21910.0,21610.0,21890.0,165.0,277.0
2018-05-18,21040.0,21500.0,21040.0,21400.0,106.0,164.0
2018-05-17,21000.0,21000.0,20900.0,20920.0,39.0,73.0
2018-05-16,21050.0,21100.0,21000.0,21040.0,31.0,53.0
2018-05-15,20940.0,20990.0,20940.0,20980.0,12.0,23.0
2018-05-14,0.0,0.0,0.0,20720.0,0.0,23.0
2018-05-11,0.0,0.0,0.0,20720.0,0.0,23.0
2018-05-10,20900.0,20900.0,20700.0,20720.0,11.0,23.0
2018-05-09,20800.0,20950.0,20800.0,20840.0,13.0,23.0
2018-05-08,0.0,0.0,0.0,20440.0,0.0,12.0
2018-05-04,0.0,0.0,0.0,20440.0,0.0,12.0
2018-05-03,0.0,0.0,0.0,20440.0,0.0,12.0
